"","SUM_RBC","SUM_RAIN_FALL(mm)_poly_1","SUM_RAIN_FALL(mm)_poly_2","SUM_SNOW_FALL(cm)_poly_1","SUM_SNOW_FALL(cm)_poly_2","TEMP(deg C)_MEAN_poly_1","TEMP(deg C)_MEAN_poly_2","RH(%)_MEAN_poly_1","RH(%)_MEAN_poly_2","WD_SPD(m/s)_MEAN_poly_1","WD_SPD(m/s)_MEAN_poly_2","VIS(10m)_MEAN_poly_1","VIS(10m)_MEAN_poly_2","DP_TEMP(deg C)_MEAN_poly_1","DP_TEMP(deg C)_MEAN_poly_2","SOL_RAD(MJ/m2)_MEAN_poly_1","SOL_RAD(MJ/m2)_MEAN_poly_2","SEASONS_Spring","SEASONS_Summer","SEASONS_Autumn","HOLIDAY_Holiday","DAY_TYPE_WKEND","HOLIDAY_Holiday_x_SEASONS_Spring","HOLIDAY_Holiday_x_SEASONS_Summer","HOLIDAY_Holiday_x_SEASONS_Autumn","SEASONS_Spring_x_`TEMP(deg C)_MEAN_poly_1`","SEASONS_Summer_x_`TEMP(deg C)_MEAN_poly_1`","SEASONS_Autumn_x_`TEMP(deg C)_MEAN_poly_1`","`TEMP(deg C)_MEAN_poly_1`_x_`SUM_RAIN_FALL(mm)_poly_1`"
"1",8523,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.060148853071979,-0.0178266071833438,0.0144194814188946,-0.0468318456350701,-0.00131949476790262,-0.0428915603585759,0.00597599672268388,-0.0616823013798271,-0.0457626404217269,-0.040088773961558,-0.0578879324988533,0.00494483321935229,0,0,0,0,1,0,0,0,0,0,0,0.00117311210589452
"2",7233,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.0715177651561497,0.00292008651681112,-0.0499620438043611,-0.0046392650176039,-0.0639668115744091,0.053064851789668,0.0544091459241834,0.0177635584596931,-0.0717203791050773,-0.00127156849860957,-0.0579673549784727,0.00512296033211606,0,0,0,0,1,0,0,0,0,0,0,0.00139484548426553
"3",7198,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.0842614209280416,0.0310979747881885,-0.0319755602563497,-0.027027889294884,-0.0734463397753937,0.0757790468928298,-0.0525195701391464,-0.0455198242169919,-0.0768570313218732,0.00890553326494539,-0.0890215445096549,0.0919738424559112,0,0,0,0,0,0,0,0,0,0,0,0.00164339115215165
"4",2014,0.0816160832024345,-0.165841715165946,-0.01420408506592,0.00894368903447777,-0.048976332943197,-0.0341805134115666,0.098468469961004,0.0565722926734226,0.00980864703325315,-0.0500969718628138,-0.132133791349819,0.173564505024473,-0.0155308934053172,-0.0587538791993263,-0.102602788524571,0.140743666260461,0,0,0,1,1,0,0,0,0,0,0,-0.0039972564644421
"5",4027,-0.0169754933997484,0.0102152237556811,-0.01420408506592,0.00894368903447777,-0.0602143170571086,-0.0177189983107057,0.0781286147338135,0.0150864255985866,-0.0779800271758646,0.0874037820891529,-0.150151937376368,0.254678883593193,-0.0294704343447902,-0.0536962805070174,-0.0902923041835651,0.0962587467278486,0,0,0,0,1,0,0,0,0,0,0,0.00102216774177331
"6",4290,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.073809004635685,0.00760266801335036,-0.0768577201378361,0.0441743063003347,-0.0268730055705566,-0.0151117354680853,0.0586173483716365,0.028637045982358,-0.0841110821623865,0.0246822565332033,-0.0593969596116217,0.00836763428958292,0,0,0,1,0,0,0,0,0,0,0,0.00143953263345738
"7",6446,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.0749000710545114,0.00989158544173154,-0.0592074325439931,0.0100673407700483,0.00403849943265386,-0.0467313653398698,0.0359303233689463,-0.0224690940191369,-0.0816603893108618,0.0191683438237268,-0.0655919130219343,0.0232683378911194,0,0,0,0,0,0,0,0,0,0,0,0.00146081222831065
"8",5180,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.0815119335525992,0.0245783043866508,-0.0513068276210349,-0.00263509557259236,-0.0244000851702997,-0.0184841661274851,0.01724963132361,-0.0506988321910372,-0.0818368391961715,0.0195590751083704,-0.0542344984363613,-0.00300635205044678,0,0,0,0,1,0,0,0,0,0,0,0.00158976657312142
"9",4225,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.066978928853832,-0.00585927352366369,0.0297163973335585,-0.0413728458923931,-0.0656154251745804,0.0568604186180103,-0.0938044689348245,0.0397251412079712,-0.0464488344201538,-0.0393336072584743,-0.072025133871105,0.0401876787027471,0,0,0,0,1,0,0,0,0,0,0,0.00130632236967595
"10",6705,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.0499146500633877,-0.0329608739544901,0.00433360279384151,-0.0471789059970978,-0.0957026233777052,0.137573275495504,-0.123536221527901,0.138961453796727,-0.0376067346118524,-0.047937618025988,-0.0891009669892742,0.0922399653795863,0,0,0,0,0,0,0,0,0,0,0,0.00097350950617091
"11",7472,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.0615672394164532,-0.0154643409173323,-0.07063809498572,0.0312524894715898,-0.00708964236850191,-0.0379868176910408,0.00762718562888014,-0.0603584012721634,-0.0719164345331992,-0.000898265021749284,-0.0560612154676073,0.000909865859998573,0,0,0,0,0,0,0,0,0,0,0,0.00120077557920376
"12",2693,-0.0195034825433942,0.0169853246262451,0.0147931055887079,-0.0637452314765185,-0.121706820422162,0.144000692127922,-0.0810601695649416,0.0534616691576566,-0.0190420909697433,-0.0252882333131768,0.0461583775339739,-0.00171288387374385,-0.123792700814276,0.140087778008184,-0.0485955023833845,-0.0143464596813542,0,0,0,0,1,0,0,0,0,0,0,0.00237370684751565
"13",3830,-0.0195034825433942,0.0169853246262451,0.412845450029509,0.251050360455533,-0.0785442328933914,0.017812999415341,-0.00491178594579053,-0.045226551085316,-0.00131949476790262,-0.0428915603585759,0.0152464648449331,-0.0529832998441004,-0.0677208483713888,-0.00862475453074212,-0.0771875950463655,0.0548300808766253,0,0,0,0,0,0,0,0,0,0,0,0.00153188607512055
"14",5954,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.0809445790148095,0.0232631212846826,-0.0390356752938869,-0.0192198228614465,-0.00832610256863032,-0.0368319707922116,0.0303504436169728,-0.0322115354735554,-0.0782294193187271,0.0117641894002237,-0.0502633744553917,-0.0111101948722887,0,0,0,0,0,0,0,0,0,0,0,0.00157870118379773
"15",3932,-0.0195034825433942,0.0169853246262451,-0.01420408506592,0.00894368903447777,-0.11631695231316,0.124981790324382,-0.0824049533816153,0.0565283936995602,0.132630360246009,0.067553004343922,0.0686124762019342,0.0570078580020343,-0.120165675394019,0.127495962898263,0.0054912062374213,-0.0656364381887537,0,0,0,0,0,0,0,0,0,0,0,0.00226858564894053
